Designator,Mid X,Mid Y,Rotation,Layer
C1,121.0,-102.5,-90.0,top
C2,119.5,-102.5,90.0,top
J1,137.485,-127.25,0.0,bottom
J2,104.515,-112.25,180.0,bottom
R1,122.5,-102.5,90.0,top
U1,121.0,-107.0,0.0,top
