Designator,Mid X,Mid Y,Rotation,Layer
J1,154.3275,-68.5,180.0,top
J2,161.5,-82.0,0.0,top
J3,153.75,-123.0,-90.0,top
J4,138.5,-82.0,0.0,top
J5,184.0,-68.5,180.0,top
R1,154.0,-75.86,-90.0,top
R2,146.0,-75.86,-90.0,top
U1,150.0,-101.0,90.0,top
U2,150.0,-77.5,90.0,top
U3,179.5,-106.0,0.0,top
